country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,match_key_country_facility,name,addr_city,addr_city_ar,addr_city_fr,addr_street,amenity,description,fixme,healthcare,healthcare_speciality,name_ar,name_en,name_fr,opening_hours,operator,operator_ar,operator_fr,operator_type,phone,website,wheelchair,barrier,building,email,emergency,health_facility_type,name_cs,name_de,name_es,type,facility_key
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,3789254446,11.5557174,43.1241612,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,3789254447,11.5568486,43.1248612,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402501,11.2984945,42.9141925,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402508,11.2985789,42.9143964,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402509,11.298586,42.9142428,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402511,11.2986138,42.9143099,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402512,11.2986408,42.9141295,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402515,11.2986756,42.9145387,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402516,11.2986653,42.9147478,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402517,11.2986723,42.9142056,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402519,11.2987011,42.9142723,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402522,11.2987262,42.914333,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402532,11.2989569,42.9145532,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026402533,11.2989465,42.9147623,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026514390,11.1290275,42.8900205,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026514391,11.1290719,42.8897028,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026514392,11.1296194,42.890109699999996,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4026514393,11.1296789,42.8898178,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4027449293,11.1322071,42.892148,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4027449295,11.132131,42.8917572,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,4327186392,11.5713067,43.1329436,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5311729691,11.5557991,43.1134264,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5311729692,11.5557985,43.1133627,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5311729693,11.555897,43.1133619,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5311729694,11.5558976,43.1134255,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,Pharmacie populaire,pharmacy,points,5313246188,11.5576613,43.1004897,OpenStreetMap via osmdata,djibouti | pharmacie populaire,Pharmacie populaire,Balbala,بلبالا,Balbala,NA,pharmacy,NA,NA,pharmacy,NA,NA,NA,Pharmacie populaire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie populaire
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5313290268,11.555944,43.1057248,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,Maison de santé مركز صحي,clinic,points,5313346185,11.5539823,43.0982481,OpenStreetMap via osmdata,djibouti | maison de sante,Maison de santé مركز صحي,بلبالا,NA,NA,NA,clinic,NA,NA,clinic,NA,مركز صحي,NA,Maison de santé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,maison de sante
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5314084814,11.5015227,42.8624135,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5314084815,11.501733,42.862899,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5314084816,11.5020326,42.8627193,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5314084817,11.5018197,42.8622311,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,pharmacy,points,5314085236,11.5502166,43.1085917,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,pharmacy,NA,NA,pharmacy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,Pharmacie Place Cheick Moussa صيدلية ساحة الشيخ موسى,pharmacy,points,5317174086,11.5623887,43.1152064,OpenStreetMap via osmdata,djibouti | pharmacie place cheick moussa,Pharmacie Place Cheick Moussa صيدلية ساحة الشيخ موسى,NA,NA,NA,NA,pharmacy,NA,NA,pharmacy,NA,صيدلية ساحة الشيخ موسى,NA,Pharmacie Place Cheick Moussa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,pharmacie place cheick moussa
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5317202432,11.5497607,43.1115798,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Djibouti,DJI,Eastern Africa RCC,NA,NA,points,5317202435,11.5499789,43.1115772,OpenStreetMap via osmdata,djibouti | NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
