country,iso3,rcc,facility_name,facility_type,source_osm_type,osm_id,lat,lon,source,match_key_country_facility,name,access,accuracy,addr_city,addr_clan,addr_community,addr_country,addr_county,addr_district,addr_housenumber,addr_place,addr_postcode,addr_state,addr_street,addr_subdistrict,addr_suburb,addr_town,admin_district,amenity,barrier,bed_count,bicycle,building,building_condition,building_levels,building_material,capacity_beds,capacity_beds_planned,check_date,comment,contact_email,contact_mobile,contact_phone,county,description,disease_ebola,dispensing,district,doctors_num,electricity,email,emergency,entrance,fee,fixme,foot,gns_ufi,health_district,health_district_2,health_facility_id,health_facility_type,healthcare,healthcare_speciality,insurance_health,internet_access,man_made,min_height,motorcar,motorcycle,name_af,name_en,name_fr,nature_of_facility,note,nurses_num,office,opening_hours,operational,operational_status,operator,operator_type,operator_wikidata,operator_name,ownership,phone,place,post_addr,postal_code,power,project_geoloc_unicef,project_geoloc_unicef_id,reg_id,shop,short_name,source_date,start_date,sub_district,traditional_num,unocha_pcode,water_source,website,alt_name,alt_name2,alt_name_2,beds,building_roof,disused,generator_source,health_amenity_type,health_facility,hf_id,is_in,is_in_region,landuse,osm_id_1,religion,walls,wheelchair,wikidata,type,facility_key
Liberia,LBR,Western Africa RCC,Sinoe Rubber Company Clinic,clinic,polygons,825083158,5.133022750000825,-8.996424062244742,OpenStreetMap via osmdata,liberia | sinoe rubber company clinic,Sinoe Rubber Company Clinic,NA,NA,NA,NA,NA,NA,Sinoe,Kpanyan,NA,NA,NA,NA,NA,Kpanyan,NA,NA,NA,clinic,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,sinoe rubber company clinic
Liberia,LBR,Western Africa RCC,Gbanway Clinic,clinic,polygons,825400319,7.687980100000972,-9.426508000574934,OpenStreetMap via osmdata,liberia | gbanway clinic,Gbanway Clinic,NA,NA,NA,NA,NA,NA,Lofa,Salayea,NA,NA,NA,NA,NA,Salayea,NA,NA,NA,clinic,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,functional,NA,NA,NA,NA,NA,public,NA,NA,NA,NA,NA,NA,NA,LR4RP0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,gbanway clinic
Liberia,LBR,Western Africa RCC,Kolahun Hospital,hospital,polygons,825424694,8.294317250003406,-10.083897978701222,OpenStreetMap via osmdata,liberia | kolahun hospital,Kolahun Hospital,NA,NA,NA,NA,NA,NA,Lofa,Kolahun,NA,NA,NA,NA,NA,Kolahun,NA,NA,NA,hospital,NA,NA,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hospital,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,functional,NA,NA,NA,NA,NA,public,NA,NA,NA,NA,NA,NA,NA,LR93J5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kolahun hospital
Liberia,LBR,Western Africa RCC,Korworhun Clinic,clinic,polygons,825424735,8.31599535000037,-10.150368749998512,OpenStreetMap via osmdata,liberia | korworhun clinic,Korworhun Clinic,NA,NA,NA,NA,NA,NA,Lofa,Kolahun,NA,NA,NA,NA,NA,Kolahun,NA,NA,NA,clinic,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,functional,NA,NA,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,LRCFM4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,korworhun clinic
Liberia,LBR,Western Africa RCC,Kaintahun Clinic,clinic,polygons,825438608,8.136480800001513,-10.296314638449108,OpenStreetMap via osmdata,liberia | kaintahun clinic,Kaintahun Clinic,NA,NA,NA,NA,NA,NA,Lofa,Mambah-Kaba,NA,NA,NA,NA,NA,Kolahun,NA,NA,NA,clinic,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,functional,NA,NA,NA,NA,NA,public,NA,NA,NA,NA,NA,NA,NA,LR81F2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,kaintahun clinic
Liberia,LBR,Western Africa RCC,Leingbamba Clinic,clinic,polygons,825438626,8.212605150010601,-10.275065624466686,OpenStreetMap via osmdata,liberia | leingbamba clinic,Leingbamba Clinic,NA,NA,NA,NA,NA,NA,Lofa,Voinjama,NA,NA,NA,NA,NA,Foya,NA,NA,NA,clinic,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,functional,NA,NA,NA,NA,NA,public,NA,NA,NA,NA,NA,NA,NA,LR6NS6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,leingbamba clinic
Liberia,LBR,Western Africa RCC,Boeglay Town Clinic,clinic,polygons,825530988,6.172081400000686,-9.746620707045086,OpenStreetMap via osmdata,liberia | boeglay town clinic,Boeglay Town Clinic,NA,NA,NA,NA,NA,NA,district # 3 A&B,NA,NA,NA,NA,NA,NA,district # 3 A&B,NA,NA,NA,clinic,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,boeglay town clinic
Liberia,LBR,Western Africa RCC,Lukasu Clinic,clinic,polygons,825975444,8.047306350002758,-10.241898250685898,OpenStreetMap via osmdata,liberia | lukasu clinic,Lukasu Clinic,NA,NA,NA,NA,NA,NA,Lofa,Kolahun,NA,NA,NA,NA,NA,Kolahun,NA,NA,NA,clinic,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,functional,NA,NA,NA,NA,NA,Government,NA,NA,NA,NA,NA,NA,NA,LRLFP1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,lukasu clinic
Liberia,LBR,Western Africa RCC,Foya Tengia Clinic,clinic,polygons,825996928,8.27584360000624,-10.279845708209107,OpenStreetMap via osmdata,liberia | foya tengia clinic,Foya Tengia Clinic,NA,NA,NA,NA,NA,NA,Lofa,Foya,NA,NA,NA,NA,NA,Foya,NA,NA,NA,clinic,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,foya tengia clinic
Liberia,LBR,Western Africa RCC,Polar Town Clinic,clinic,polygons,826111798,6.162674700002376,-8.56688180000028,OpenStreetMap via osmdata,liberia | polar town clinic,Polar Town Clinic,NA,NA,NA,NA,NA,NA,Grand Gedeh,Gbao,NA,NA,NA,NA,NA,Gbao,NA,NA,NA,clinic,NA,NA,NA,clinic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,functional,NA,NA,NA,NA,NA,public,NA,NA,NA,1000,NA,NA,NA,LRALJ8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,polar town clinic
