sitrep_no,indicator_code,domain,value,value_source,source_type,extraction_rule,priority,evidence,extracted_at,candidate_flag
28,cases_ituri,cases,646,observed,text_line,province_row_ituri,2,"Ituri 646 114 17,6% 19 sur 36 (52,8 %) 17",2026-06-12 21:19:35.12133,candidate_ok
28,deaths_ituri,deaths,114,observed,text_line,province_row_ituri,2,"Ituri 646 114 17,6% 19 sur 36 (52,8 %) 17",2026-06-12 21:19:35.131677,candidate_ok
28,cases_sudkivu,cases,3,observed,text_line,province_row_sudkivu,2,"Sud-Kivu 3 1 33,3% 1 sur 34 (2,9 %) 0",2026-06-12 21:19:35.157337,candidate_ok
28,deaths_sudkivu,deaths,1,observed,text_line,province_row_sudkivu,2,"Sud-Kivu 3 1 33,3% 1 sur 34 (2,9 %) 0",2026-06-12 21:19:35.160949,candidate_ok
28,cumulative_confirmed_cases,cases,689,observed,text_line,total_row_cases_deaths_cfr_hz,1,"Total 689 139 20,2% 29 sur 104 (27,9 %) 17",2026-06-12 21:19:35.17251,candidate_ok
28,cumulative_deaths,deaths,139,observed,text_line,total_row_cases_deaths_cfr_hz,1,"Total 689 139 20,2% 29 sur 104 (27,9 %) 17",2026-06-12 21:19:35.177056,candidate_ok
28,case_fatality_ratio,deaths,20.2,observed,text_line,total_row_cases_deaths_cfr_hz,1,"Total 689 139 20,2% 29 sur 104 (27,9 %) 17",2026-06-12 21:19:35.180197,candidate_ok
28,hz_affected_national,geography,29,observed,text_line,total_row_cases_deaths_cfr_hz,1,"Total 689 139 20,2% 29 sur 104 (27,9 %) 17",2026-06-12 21:19:35.183955,candidate_ok
28,cumulative_confirmed_cases,cases,689,observed,text_line,total_row_cases_deaths_cfr,2,"Total 689 139 20,2% 29 sur 104 (27,9 %) 17",2026-06-12 21:19:35.188313,candidate_ok
28,cumulative_deaths,deaths,139,observed,text_line,total_row_cases_deaths_cfr,2,"Total 689 139 20,2% 29 sur 104 (27,9 %) 17",2026-06-12 21:19:35.191773,candidate_ok
28,case_fatality_ratio,deaths,20.2,observed,text_line,total_row_cases_deaths_cfr,2,"Total 689 139 20,2% 29 sur 104 (27,9 %) 17",2026-06-12 21:19:35.194665,candidate_ok
28,cumulative_confirmed_cases,cases,689,observed,text_line,total_row_cases_deaths_cfr,2,"TOTAL 689 139 20,2%",2026-06-12 21:19:36.167526,candidate_ok
28,cumulative_deaths,deaths,139,observed,text_line,total_row_cases_deaths_cfr,2,"TOTAL 689 139 20,2%",2026-06-12 21:19:36.189219,candidate_ok
28,case_fatality_ratio,deaths,20.2,observed,text_line,total_row_cases_deaths_cfr,2,"TOTAL 689 139 20,2%",2026-06-12 21:19:36.212763,candidate_ok
28,alerts_reported,surveillance,143,observed,text_line,tbl_alerts_reported,3,Alertes remontées 143 266 10 419,2026-06-12 21:19:36.806398,candidate_ok
28,alerts_reported,surveillance,419,observed,text_line,narr_alerts_reported,4,"Au total, 419 alertes ont été remontées à travers les trois provinces touchées, 377 (90,0%) de ces alertes",2026-06-12 21:19:37.115264,candidate_ok
28,cases_ituri,cases,4,observed,text_line,province_row_ituri,2,"Ituri 4 782 830 17,4%2",2026-06-12 21:19:37.276419,candidate_ok
28,deaths_ituri,deaths,782,observed,text_line,province_row_ituri,2,"Ituri 4 782 830 17,4%2",2026-06-12 21:19:37.288967,candidate_ok
28,cases_nordkivu,cases,1037,observed,text_line,province_row_nordkivu,2,"Nord-Kivu 1037 700 67,5%",2026-06-12 21:19:37.361447,candidate_ok
28,deaths_nordkivu,deaths,700,observed,text_line,province_row_nordkivu,2,"Nord-Kivu 1037 700 67,5%",2026-06-12 21:19:37.372137,candidate_ok
28,cases_sudkivu,cases,224,observed,text_line,province_row_sudkivu,2,"Sud-Kivu 224 185 82,6%",2026-06-12 21:19:37.419834,candidate_ok
28,deaths_sudkivu,deaths,185,observed,text_line,province_row_sudkivu,2,"Sud-Kivu 224 185 82,6%",2026-06-12 21:19:37.433451,candidate_ok
28,alerts_validated,surveillance,3,observed,text_line,tbl_alerts_validated,3,Nombre d'alertes validées 3,2026-06-12 21:19:38.032726,candidate_ok
