"province","zone_sante","n_alertes","alertes_7j","alertes_30j","n_confirmes","n_deces","derniere_alerte","score_criticite","priorite"
"nk Nord Kivu Province","Nk Kyondo Aire De Santé",20,11,20,0,0,"2026-06-21",53,"HAUTE"
"it Ituri Province","It Angako Aire De Santé",13,13,13,0,0,"2026-06-18",52,"HAUTE"
"it Ituri Province","It Ongoyi Aire De Santé",28,8,28,0,0,"2026-06-23",52,"HAUTE"
"sk Sud Kivu Province","Sk Lwiro Aire De Santé",13,13,13,0,0,"2026-06-21",52,"HAUTE"
"it Ituri Province","It Kilo Etat Aire De Santé",27,6,18,3,0,"2026-06-23",51,"HAUTE"
"it Ituri Province","It Lolwa Aire De Santé",18,11,18,0,0,"2026-06-23",51,"HAUTE"
"it Ituri Province","It Lita Aire De Santé",8,4,8,6,0,"2026-06-22",50,"HAUTE"
"it Ituri Province","It Abelkozo Aire De Santé",18,1,10,7,0,"2026-06-18",48,"HAUTE"
"it Ituri Province","It Kumudhu Aire De Santé",12,12,12,0,0,"2026-06-22",48,"HAUTE"
"it Ituri Province","It Rodo Aire De Santé",12,12,12,0,0,"2026-06-22",48,"HAUTE"
"sk Sud Kivu Province","Sk Kahungu Aire De Santé",19,7,16,2,2,"2026-06-21",47,"HAUTE"
"nk Nord Kivu Province","Nk Mudja Aire De Santé",16,10,16,0,0,"2026-06-19",46,"HAUTE"
"it Ituri Province","It Laybo Aire De Santé",12,11,12,0,0,"2026-06-23",45,"HAUTE"
"it Ituri Province","It Nyakasanza Aire De Santé",20,4,18,3,2,"2026-06-22",45,"HAUTE"
"it Ituri Province","It Ambimaro Aire De Santé",11,11,11,0,0,"2026-06-19",44,"HAUTE"
"it Ituri Province","It Ayiko Aire De Santé",11,11,11,0,0,"2026-06-22",44,"HAUTE"
"it Ituri Province","It Konga Aire De Santé",11,11,11,0,0,"2026-06-22",44,"HAUTE"
"it Ituri Province","It Nzere Aire De Santé",18,3,14,4,3,"2026-06-21",43,"HAUTE"
"it Ituri Province","It Ukebu Ngali Aire De Santé",12,10,12,0,0,"2026-06-23",42,"HAUTE"
"it Ituri Province","It Birinyama Aire De Santé",18,6,18,1,0,"2026-06-23",41,"HAUTE"
"it Ituri Province","It Lengabo Aire De Santé",15,9,14,0,0,"2026-06-23",41,"HAUTE"
