"province","zone_sante","n_alertes","alertes_7j","alertes_30j","n_confirmes","n_deces","derniere_alerte","score_criticite","priorite"
"ks Kasai Province","Ks Mpianga Aire De Santé",75,0,0,1,1,"2025-11-30",5,"MODÉRÉE"
"nk Nord Kivu Province","Nk Bujovu Aire De Santé",2,1,2,0,0,"2026-06-21",5,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kalengehya Aire De Santé",2,1,2,0,0,"2026-06-19",5,"MODÉRÉE"
"nk Nord Kivu Province","Nk Kivuwe Aire De Santé",2,1,2,0,0,"2026-06-22",5,"MODÉRÉE"
"sk Sud Kivu Province","Sk Kalole Aire De Santé",5,0,5,0,0,"2026-06-07",5,"MODÉRÉE"
"it Ituri Province","It Alagi Aire De Santé",2,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Alimasi Aire De Santé",1,1,1,0,0,"2026-06-22",4,"FAIBLE"
"it Ituri Province","It Badiya Aire De Santé",4,0,4,0,0,"2026-06-12",4,"FAIBLE"
"it Ituri Province","It Bafwanekengele Aire De Santé",1,1,1,0,0,"2026-06-22",4,"FAIBLE"
"it Ituri Province","It Bholi Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Buu Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Dhuadhua Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Djuru Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Jalusene Aire De Santé",1,1,1,0,0,"2026-06-17",4,"FAIBLE"
"it Ituri Province","It Kambala Aire De Santé",1,1,1,0,0,"2026-06-17",4,"FAIBLE"
"it Ituri Province","It Kayi Aire De Santé",1,1,1,0,0,"2026-06-18",4,"FAIBLE"
"it Ituri Province","It Keli Aire De Santé",1,1,1,0,0,"2026-06-18",4,"FAIBLE"
"it Ituri Province","It Kerekere Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Kikoga Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Kumbuku Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Laudjo Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Mahagi Mission Aire De Santé",1,1,1,0,0,"2026-06-18",4,"FAIBLE"
"it Ituri Province","It Makeke Aire De Santé",1,1,1,0,0,"2026-06-20",4,"FAIBLE"
"it Ituri Province","It Ngbeku Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Ngeria Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Nioka Aire De Santé",1,1,1,0,0,"2026-06-19",4,"FAIBLE"
"it Ituri Province","It Nyakeru Aire De Santé",4,0,4,0,0,"2026-06-15",4,"FAIBLE"
"it Ituri Province","It Obitabo Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Onzari Aire De Santé",1,1,1,0,0,"2026-06-18",4,"FAIBLE"
"it Ituri Province","It Ovisoni Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Rinyi Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Sarara Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Tofu Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Turumu Aire De Santé",1,1,1,0,0,"2026-06-23",4,"FAIBLE"
"it Ituri Province","It Wighi Aire De Santé",1,1,1,0,0,"2026-06-17",4,"FAIBLE"
"it Ituri Province","It Wilii Aire De Santé",1,1,1,0,0,"2026-06-17",4,"FAIBLE"
"nk Nord Kivu Province","Nk Bundji Aire De Santé",1,1,1,0,0,"2026-06-18",4,"FAIBLE"
"nk Nord Kivu Province","Nk Byungo Aire De Santé",4,0,4,0,0,"2026-05-25",4,"FAIBLE"
"nk Nord Kivu Province","Nk Katoyi Aire De Santé",1,1,1,0,0,"2026-06-21",4,"FAIBLE"
"nk Nord Kivu Province","Nk Kighali Aire De Santé",1,1,1,0,0,"2026-06-18",4,"FAIBLE"
"nk Nord Kivu Province","Nk Lubango Aire De Santé",1,1,1,0,0,"2026-06-21",4,"FAIBLE"
"nk Nord Kivu Province","Nk Misebere Aire De Santé",1,1,1,0,0,"2026-06-17",4,"FAIBLE"
"nk Nord Kivu Province","Nk Mugunga 3 Aire De Santé",4,0,4,0,0,"2026-06-06",4,"FAIBLE"
"nk Nord Kivu Province","Nk Méthodiste Unis De Majengo Aire De Santé",1,1,1,0,0,"2026-06-21",4,"FAIBLE"
"nk Nord Kivu Province","Nk Tuungane Aire De Santé",1,1,1,0,0,"2026-06-17",4,"FAIBLE"
"nk Nord Kivu Province","Nk Wayene Aire De Santé",1,1,1,0,0,"2026-06-18",4,"FAIBLE"
"sk Sud Kivu Province","Sk Chibumbiro Aire De Santé",1,1,1,0,0,"2026-06-21",4,"FAIBLE"
"it Ituri Province","It Blukwa Etat Aire De Santé",3,0,3,0,0,"2026-06-08",3,"FAIBLE"
"it Ituri Province","It Ce 39 Iga Barrière Aire De Santé",3,0,3,0,0,"2026-06-14",3,"FAIBLE"
"it Ituri Province","It Gety Aire De Santé",3,0,3,0,0,"2026-06-15",3,"FAIBLE"
"it Ituri Province","It Lwemba Aire De Santé",3,0,3,0,0,"2026-06-12",3,"FAIBLE"
"it Ituri Province","It Ngote Aire De Santé",4,0,3,0,0,"2026-06-15",3,"FAIBLE"
"it Ituri Province","It Tekele Aire De Santé",3,0,3,0,0,"2026-06-11",3,"FAIBLE"
"sk Sud Kivu Province","Sk Muzinzi Aire De Santé",3,0,3,0,0,"2026-06-07",3,"FAIBLE"
"it Ituri Province","It Alla Wi Mo Aire De Santé",2,0,2,0,0,"2026-06-12",2,"FAIBLE"
"it Ituri Province","It Amee Aire De Santé",2,0,2,0,0,"2026-06-15",2,"FAIBLE"
"it Ituri Province","It Aveba Aire De Santé",2,0,2,0,0,"2026-06-14",2,"FAIBLE"
"it Ituri Province","It Essebi Aire De Santé",2,0,2,0,0,"2026-06-16",2,"FAIBLE"
"it Ituri Province","It Fataki Aire De Santé",2,0,2,0,0,"2026-06-03",2,"FAIBLE"
"it Ituri Province","It Koloa Aire De Santé",2,0,2,0,0,"2026-06-12",2,"FAIBLE"
"it Ituri Province","It Mangambo Aire De Santé",3,0,2,0,0,"2026-05-27",2,"FAIBLE"
"it Ituri Province","It Nyarada Aire De Santé",3,0,2,0,0,"2026-06-04",2,"FAIBLE"
"it Ituri Province","It Tchudja Aire De Santé",2,0,2,0,0,"2026-06-03",2,"FAIBLE"
"kn Kinshasa Province","Kn Commerce Aire De Santé",2,0,2,0,2,"2026-05-25",2,"FAIBLE"
"kn Kinshasa Province","Kn Mfumu Mvula Aire De Santé",2,0,2,0,0,"2026-05-27",2,"FAIBLE"
"nk Nord Kivu Province","Nk Baraka Aire De Santé",2,0,2,0,0,"2026-05-29",2,"FAIBLE"
"nk Nord Kivu Province","Nk Mapendo Aire De Santé",4,0,2,0,3,"2026-05-28",2,"FAIBLE"
"nk Nord Kivu Province","Nk Umoja Aire De Santé",3,0,2,0,0,"2026-05-28",2,"FAIBLE"
"it Ituri Province","It Afia Ya Wagonjwa Aire De Santé",1,0,1,0,0,"2026-06-03",1,"FAIBLE"
"it Ituri Province","It Amema Aire De Santé",2,0,1,0,0,"2026-06-04",1,"FAIBLE"
"it Ituri Province","It Aupa Aire De Santé",1,0,1,0,0,"2026-06-01",1,"FAIBLE"
"it Ituri Province","It Bandisende Aire De Santé",1,0,1,0,0,"2026-06-03",1,"FAIBLE"
"it Ituri Province","It Barrière Dele Poc",1,0,1,0,0,"2026-06-16",1,"FAIBLE"
"it Ituri Province","It Bassani Aire De Santé",1,0,1,0,0,"2026-06-04",1,"FAIBLE"
"it Ituri Province","It Basunu Aire De Santé",1,0,1,0,0,"2026-06-12",1,"FAIBLE"
"it Ituri Province","It Bwanasura Aire De Santé",1,0,1,0,0,"2026-06-02",1,"FAIBLE"
"it Ituri Province","It Dabu Aire De Santé",1,0,1,0,0,"2026-06-13",1,"FAIBLE"
"it Ituri Province","It Dala Aire De Santé",1,0,1,0,0,"2026-06-10",1,"FAIBLE"
"it Ituri Province","It Djugu Aire De Santé",1,0,1,0,0,"2026-06-15",1,"FAIBLE"
"it Ituri Province","It Dzna Aire De Santé",1,0,1,0,0,"2026-06-01",1,"FAIBLE"
"it Ituri Province","It Iga Mission Aire De Santé",1,0,1,0,0,"2026-06-11",1,"FAIBLE"
"it Ituri Province","It Kabakaba Aire De Santé",1,0,1,0,0,"2026-06-06",1,"FAIBLE"
"it Ituri Province","It Kabarole Aire De Santé",3,0,1,0,0,"2026-06-03",1,"FAIBLE"
"it Ituri Province","It Kpalo Aire De Santé",1,0,1,0,0,"2026-06-06",1,"FAIBLE"
"it Ituri Province","It Kpandroma Aire De Santé",1,0,1,0,0,"2026-06-15",1,"FAIBLE"
"it Ituri Province","It Luma Aire De Santé",1,0,1,0,0,"2026-06-01",1,"FAIBLE"
"it Ituri Province","It Mangusu Aire De Santé",2,0,1,0,0,"2026-06-04",1,"FAIBLE"
"it Ituri Province","It Manya Aire De Santé",1,0,1,0,0,"2026-06-16",1,"FAIBLE"
"it Ituri Province","It Ndjubu Aire De Santé",1,0,1,0,0,"2026-06-13",1,"FAIBLE"
"it Ituri Province","It Ofay Aire De Santé",1,0,1,0,0,"2026-06-15",1,"FAIBLE"
"it Ituri Province","It Ofoo Poe",1,0,1,0,0,"2026-06-14",1,"FAIBLE"
"it Ituri Province","It Penyi Aire De Santé",1,0,1,0,0,"2026-06-11",1,"FAIBLE"
"it Ituri Province","It Rigo Aire De Santé",1,0,1,0,0,"2026-06-14",1,"FAIBLE"
"it Ituri Province","It Sii Aire De Santé",1,0,1,0,0,"2026-06-10",1,"FAIBLE"
"it Ituri Province","It Tchele Aire De Santé",1,0,1,0,0,"2026-06-15",1,"FAIBLE"
"it Ituri Province","It Tobola Aire De Santé",1,0,1,0,0,"2026-06-12",1,"FAIBLE"
"kn Kinshasa Province","Kn Industriel 2 Aire De Santé",1,0,1,0,0,"2026-05-30",1,"FAIBLE"
"kn Kinshasa Province","Kn Ndolo Aire De Santé",1,0,1,0,0,"2026-05-27",1,"FAIBLE"
"kn Kinshasa Province","Kn Onl Aire De Santé",1,0,1,0,0,"2026-05-29",1,"FAIBLE"
"kn Kinshasa Province","Kn Yolo Sud 2 Aire De Santé",1,0,1,0,0,"2026-05-30",1,"FAIBLE"
"nk Nord Kivu Province","Nk Himbi Aire De Santé",4,0,1,0,0,"2026-05-25",1,"FAIBLE"
"nk Nord Kivu Province","Nk Kambuli Aire De Santé",1,0,1,0,0,"2026-05-25",1,"FAIBLE"
"nk Nord Kivu Province","Nk Kasongwere Aire De Santé",1,0,1,0,0,"2026-06-13",1,"FAIBLE"
"nk Nord Kivu Province","Nk Katindo Aire De Santé",4,0,1,0,0,"2026-06-02",1,"FAIBLE"
"nk Nord Kivu Province","Nk Luseke Aire De Santé",1,0,1,0,0,"2026-06-13",1,"FAIBLE"
"nk Nord Kivu Province","Nk Majengo Aire De Santé",1,0,1,0,0,"2026-06-08",1,"FAIBLE"
"nk Nord Kivu Province","Nk Mitoya Aire De Santé",1,0,1,0,0,"2026-06-11",1,"FAIBLE"
"nk Nord Kivu Province","Nk Ngangi Iii Aire De Santé",1,0,1,0,0,"2026-06-14",1,"FAIBLE"
"nk Nord Kivu Province","Nk Ngitse Aire De Santé",1,0,1,0,0,"2026-06-14",1,"FAIBLE"
"nk Nord Kivu Province","Nk Nkasa Aire De Santé",1,0,1,0,0,"2026-05-28",1,"FAIBLE"
"nk Nord Kivu Province","Nk Pakanza Aire De Santé",1,0,1,0,0,"2026-05-31",1,"FAIBLE"
"nk Nord Kivu Province","Nk Supa Aire De Santé",1,0,1,0,0,"2026-06-12",1,"FAIBLE"
"nk Nord Kivu Province","Nk Vulamba Aire De Santé",1,0,1,0,0,"2026-05-27",1,"FAIBLE"
"sk Sud Kivu Province","Sk Bagira Aire De Santé",1,0,1,0,0,"2026-06-07",1,"FAIBLE"
"sk Sud Kivu Province","Sk Burhiba Aire De Santé",2,0,1,0,0,"2026-05-30",1,"FAIBLE"
"sk Sud Kivu Province","Sk Ceca40 Nguba Aire De Santé",1,0,1,0,0,"2026-06-07",1,"FAIBLE"
"sk Sud Kivu Province","Sk Ciriri 2 Aire De Santé",1,0,1,0,0,"2026-05-25",1,"FAIBLE"
"sk Sud Kivu Province","Sk Kashusha Aire De Santé",1,0,1,0,0,"2026-06-09",1,"FAIBLE"
"sk Sud Kivu Province","Sk Makoma Aire De Santé",1,0,1,0,0,"2026-06-11",1,"FAIBLE"
"sk Sud Kivu Province","Sk Mukongola Aire De Santé",1,0,1,0,0,"2026-06-13",1,"FAIBLE"
"sk Sud Kivu Province","Sk Munya Aire De Santé",1,0,1,0,0,"2026-05-28",1,"FAIBLE"
"sk Sud Kivu Province","Sk Murhesa Aire De Santé",1,0,1,0,0,"2026-06-07",1,"FAIBLE"
"sk Sud Kivu Province","Sk Numbi Aire De Santé",1,0,1,0,0,"2026-05-31",1,"FAIBLE"
"sk Sud Kivu Province","Sk Panzi Aire De Santé",1,0,1,0,0,"2026-06-11",1,"FAIBLE"
"eq Equateur Province","Eq Bafumba Aire De Santé",1,0,0,0,0,"2025-11-03",0,"FAIBLE"
"eq Equateur Province","Eq Buburu Aire De Santé",1,0,0,0,0,"2025-11-28",0,"FAIBLE"
"it Ituri Province","It Central Aire De Santé",1,0,0,0,0,"2026-05-24",0,"FAIBLE"
"it Ituri Province","It D'idjo Aire De Santé",1,0,0,0,0,"2026-05-23",0,"FAIBLE"
"it Ituri Province","It Mahagi Port Etat Aire De Santé",1,0,0,0,0,"2026-05-24",0,"FAIBLE"
"it Ituri Province","It Malo Aire De Santé",2,0,0,0,0,"2026-05-22",0,"FAIBLE"
"it Ituri Province","It Mere Apoline Aire De Santé",1,0,0,0,0,"2026-05-16",0,"FAIBLE"
"kn Kinshasa Province","Kn Adoula Aire De Santé",1,0,0,0,0,"2025-09-22",0,"FAIBLE"
"kn Kinshasa Province","Kn Bisengo Aire De Santé",2,0,0,0,0,"2025-09-29",0,"FAIBLE"
"ks Kasai Province","Ks Bakamayi Aire De Santé",37,0,0,0,0,"2025-11-20",0,"FAIBLE"
"ks Kasai Province","Ks Bakatombi Aire De Santé",22,0,0,0,0,"2025-12-11",0,"FAIBLE"
"ks Kasai Province","Ks Bakua Dishi Aire De Santé",5,0,0,0,0,"2025-11-26",0,"FAIBLE"
"ks Kasai Province","Ks Bambakfu Aire De Santé",1,0,0,0,0,"2025-11-04",0,"FAIBLE"
"ks Kasai Province","Ks Bangombe Aire De Santé",14,0,0,0,0,"2026-03-11",0,"FAIBLE"
"ks Kasai Province","Ks Banongo Aire De Santé",36,0,0,0,0,"2025-10-22",0,"FAIBLE"
"ks Kasai Province","Ks Batanga Aire De Santé",11,0,0,0,0,"2025-11-30",0,"FAIBLE"
"ks Kasai Province","Ks Batua Ishama Aire De Santé",1,0,0,0,0,"2025-11-24",0,"FAIBLE"
"ks Kasai Province","Ks Benalongo Aire De Santé",27,0,0,0,0,"2025-11-20",0,"FAIBLE"
"ks Kasai Province","Ks Benansamba Aire De Santé",61,0,0,0,0,"2025-12-28",0,"FAIBLE"
"ks Kasai Province","Ks Bukwek Aire De Santé",39,0,0,0,0,"2025-11-24",0,"FAIBLE"
"ks Kasai Province","Ks Bulangu Kapimbi Aire De Santé",1,0,0,0,0,"2025-10-30",0,"FAIBLE"
"ks Kasai Province","Ks Bulangu Tshimbulu Aire De Santé",4,0,0,0,0,"2025-11-20",0,"FAIBLE"
"ks Kasai Province","Ks Buleka Aire De Santé",186,0,0,0,0,"2025-11-16",0,"FAIBLE"
"ks Kasai Province","Ks Bulongo Aire De Santé",49,0,0,0,0,"2025-11-13",0,"FAIBLE"
"ks Kasai Province","Ks Bungamba Aire De Santé",39,0,0,0,0,"2026-04-06",0,"FAIBLE"
"ks Kasai Province","Ks Bungongo 1 Aire De Santé",23,0,0,0,0,"2025-11-03",0,"FAIBLE"
"ks Kasai Province","Ks Bungongo 2 Aire De Santé",6,0,0,0,0,"2025-11-03",0,"FAIBLE"
"ks Kasai Province","Ks Bupole Aire De Santé",16,0,0,0,0,"2025-11-08",0,"FAIBLE"
"ks Kasai Province","Ks Bupu Aire De Santé",1,0,0,0,0,"2025-11-08",0,"FAIBLE"
"ks Kasai Province","Ks Congo Aire De Santé",75,0,0,0,0,"2025-11-15",0,"FAIBLE"
"ks Kasai Province","Ks Ebampoma Aire De Santé",98,0,0,0,0,"2025-11-24",0,"FAIBLE"
"ks Kasai Province","Ks Ifaf Aire De Santé",1,0,0,0,0,"2025-09-27",0,"FAIBLE"
"ks Kasai Province","Ks Ikit Aire De Santé",154,0,0,0,0,"2025-12-11",0,"FAIBLE"
"ks Kasai Province","Ks Ilebo Ndjare Aire De Santé",1,0,0,0,0,"2025-11-09",0,"FAIBLE"
"ks Kasai Province","Ks Ishamandongo Aire De Santé",2,0,0,0,0,"2025-11-08",0,"FAIBLE"
"ks Kasai Province","Ks Kalombayi Aire De Santé",13,0,0,0,0,"2025-10-19",0,"FAIBLE"
"ks Kasai Province","Ks Kaluamba Aire De Santé",12,0,0,0,0,"2025-10-15",0,"FAIBLE"
"ks Kasai Province","Ks Kampungu Aire De Santé",3,0,0,0,0,"2025-11-22",0,"FAIBLE"
"ks Kasai Province","Ks Kinda 1 Aire De Santé",2,0,0,0,0,"2025-11-30",0,"FAIBLE"
"ks Kasai Province","Ks Luayi Bushongo Aire De Santé",40,0,0,0,0,"2025-11-21",0,"FAIBLE"
"ks Kasai Province","Ks Lubanga Aire De Santé",1,0,0,0,0,"2025-09-27",0,"FAIBLE"
"ks Kasai Province","Ks Luebo Cité 1 Aire De Santé",1,0,0,0,0,"2025-11-30",0,"FAIBLE"
"ks Kasai Province","Ks Lukaka Aire De Santé",172,0,0,0,0,"2025-12-30",0,"FAIBLE"
"ks Kasai Province","Ks Makonoko Aire De Santé",11,0,0,0,0,"2025-11-08",0,"FAIBLE"
"ks Kasai Province","Ks Malongo 1 Aire De Santé",10,0,0,0,0,"2025-11-22",0,"FAIBLE"
"ks Kasai Province","Ks Malongo 2 Aire De Santé",1,0,0,0,0,"2025-09-27",0,"FAIBLE"
"ks Kasai Province","Ks Maluku Aire De Santé",31,0,0,0,0,"2025-11-23",0,"FAIBLE"
"ks Kasai Province","Ks Mapeyi Aire De Santé",1,0,0,0,0,"2025-09-27",0,"FAIBLE"
"ks Kasai Province","Ks Maréchal Aire De Santé",110,0,0,0,0,"2025-12-16",0,"FAIBLE"
"ks Kasai Province","Ks Mashashana Aire De Santé",1,0,0,0,0,"2025-10-31",0,"FAIBLE"
"ks Kasai Province","Ks Mbelo Aire De Santé",151,0,0,0,0,"2025-11-30",0,"FAIBLE"
"ks Kasai Province","Ks Misumba Aire De Santé",9,0,0,0,0,"2025-10-30",0,"FAIBLE"
"ks Kasai Province","Ks Mitoma Aire De Santé",27,0,0,0,0,"2025-12-07",0,"FAIBLE"
"ks Kasai Province","Ks Mpatambamba Aire De Santé",316,0,0,0,0,"2025-12-09",0,"FAIBLE"
"ks Kasai Province","Ks Muanyika Aire De Santé",161,0,0,0,0,"2025-12-08",0,"FAIBLE"
"ks Kasai Province","Ks Muema Songo Aire De Santé",10,0,0,0,0,"2025-11-22",0,"FAIBLE"
"ks Kasai Province","Ks Muteba Aire De Santé",2,0,0,0,0,"2025-09-27",0,"FAIBLE"
"ks Kasai Province","Ks Mweka 1 Aire De Santé",158,0,0,0,0,"2025-11-30",0,"FAIBLE"
"ks Kasai Province","Ks Mweka 2 Aire De Santé",44,0,0,0,0,"2025-11-20",0,"FAIBLE"
"ks Kasai Province","Ks Mweka 3 Aire De Santé",152,0,0,0,0,"2025-11-11",0,"FAIBLE"
"ks Kasai Province","Ks Nsungi Munene Aire De Santé",48,0,0,0,0,"2025-11-03",0,"FAIBLE"
"ks Kasai Province","Ks Pilote Aire De Santé",16,0,0,0,0,"2025-11-15",0,"FAIBLE"
"ks Kasai Province","Ks Pombo Aire De Santé",101,0,0,0,0,"2025-12-11",0,"FAIBLE"
"ks Kasai Province","Ks Tshikapa Aire De Santé",1,0,0,0,0,"2025-11-15",0,"FAIBLE"
"ks Kasai Province","Ks Tshikuluka Aire De Santé",122,0,0,0,0,"2025-11-29",0,"FAIBLE"
"ks Kasai Province","Ks Tshitala Aire De Santé",24,0,0,0,0,"2025-11-19",0,"FAIBLE"
"ks Kasai Province","Ks Yoolo Aire De Santé",161,0,0,0,0,"2026-01-01",0,"FAIBLE"
"nk Nord Kivu Province","Nk Kishanga Aire De Santé",1,0,0,0,0,"2026-04-29",0,"FAIBLE"
"nk Nord Kivu Province","Nk Kyeshero Aire De Santé",2,0,0,0,1,"2026-05-23",0,"FAIBLE"
"nk Nord Kivu Province","Nk Tenambo Aire De Santé",1,0,0,0,0,"2026-05-19",0,"FAIBLE"
"sk Sud Kivu Province","Sk Nyantende Aire De Santé",1,0,0,0,0,"2026-05-21",0,"FAIBLE"
