timestamp_utc,num,date,page_url,pdf_url,strategy,status,local_path,sha256
2026-07-19 09:37:03,18,2026-06-01,https://insp.cd/sitrep-n018-mvb_01-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 09:40:01,19,2026-06-01,https://insp.cd/sitrep-n019-mvb_01-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 09:43:40,20,2026-06-02,https://insp.cd/sitrep-n020-mvb_02-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 09:43:40,21,ND,ND,ND,none,not_found_on_INSP,ND,ND
2026-07-19 09:47:06,22,2026-06-05,https://insp.cd/sitrep-n22-mvb_05-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 09:50:28,23,2026-06-06,https://insp.cd/sitrep-n23-mvb_06-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 09:53:15,24,2026-06-07,https://insp.cd/sitrep-n24-mvb_07-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 09:56:58,25,2026-06-08,https://insp.cd/sitrep-n25-mvb_08-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:00:29,26,2026-06-09,https://insp.cd/sitrep-n26-mvb_09-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:03:53,27,2026-06-10,https://insp.cd/sitrep-n27-mvb_10-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:06:57,28,2026-06-11,https://insp.cd/sitrep-n28-mvb_11-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:06:57,29,ND,ND,ND,none,not_found_on_INSP,ND,ND
2026-07-19 10:20:14,30,2026-06-13,https://insp.cd/sitrep-n30-mvb_13-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:22:57,31,2026-06-14,https://insp.cd/sitrep-n31-mvb_14-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:25:44,32,2026-06-15,https://insp.cd/sitrep-n32-mvb_15-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
2026-07-19 10:28:38,33,2026-06-16,https://insp.cd/sitrep-n33-mvb_16-06-2026/,ND,all_failed,pdf_link_absent,ND,ND
