timestamp_utc,num,date,page_url,pdf_url,strategy_success,strategies_tried,status,local_path,sha256
2026-07-19 11:10:28,51,2026-07-04,https://insp.cd/sitrep-n051-mvb_04-07-2026/,https://insp.cd/wp-content/uploads/2026/07/SitRep_MVE_RDC_N°051_04_07_2026.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N051_2026-07-04.pdf,b01c0699fb60a6be23703c91b657994b3bdc25dc200f98f561bae3177fedc767
2026-07-19 11:10:39,52,2026-07-05,https://insp.cd/sitrep-n052-mvb_05-07-2026/,https://insp.cd/wp-content/uploads/2026/07/Draft_SitRep_MVE_RDC_N°052_05_07_2026_CORRIGE-1.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N052_2026-07-05.pdf,437c86d14b06b9f31821c7aa9bf2701af6f5275a5ab4f655f5d74dec202a3c52
2026-07-19 11:10:51,53,2026-07-06,https://insp.cd/sitrep-n053-mvb_06-07-2026/,https://insp.cd/wp-content/uploads/2026/07/Draft_SitRep_MVE_RDC_N°053_06_07_2026_NEW.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N053_2026-07-06.pdf,d8d21e9c003d1ae7b3b50bdb99c5d1e516ec5bd3e2580ff3f92a54a23c694c9a
2026-07-19 11:13:01,54,2026-07-07,https://insp.cd/sitrep-n054-mvb_07-07-2026/,https://insp.cd/wp-content/uploads/2026/07/Draft2_SitRep_MVE_RDC_N°054_07_07_2026.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,http_error,ND,ND
2026-07-19 11:13:34,55,2026-07-08,https://insp.cd/sitrep-n055-mvb_08-07-2026/,https://insp.cd/wp-content/uploads/2026/07/Draft_SitRep_MVE_RDC_N°055_08_07_2026.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N055_2026-07-08.pdf,44706aea5157df826e05f4be706abca3acf93033d0e586a31c8e03711a94d91b
2026-07-19 11:13:48,56,2026-07-09,https://insp.cd/sitrep-n056-mvb_09-07-2026/,https://insp.cd/wp-content/uploads/2026/07/SitRep_MVE_RDC_N°56_09-07-2026.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N056_2026-07-09.pdf,a195bf3c631a8e3547206a5085db54b29861d17e3b1d5f3a291e96160f9f989b
2026-07-19 11:14:01,57,2026-07-10,https://insp.cd/sitrep-n057-mvb_10-07-2026/,https://insp.cd/wp-content/uploads/2026/07/Draft_SitRep_MVE_RDC_NA°57_10-07-2026_IM_SAM_vf.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N057_2026-07-10.pdf,141c9539a4cc0a4a2c31f6972280e4f4251ecedc4aa3e1bf5f7123b53ecb6d05
2026-07-19 11:14:11,58,2026-07-11,https://insp.cd/sitrep-n058-mvb_11-07-2026/,https://insp.cd/wp-content/uploads/2026/07/Draft_SitRep_MVE_RDC_N°58_11-07-2026-final.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N058_2026-07-11.pdf,c62e6dda952cfacbc159d5735ce2f8e526f66e48d920eb47a632e2835e931185
2026-07-19 11:14:12,59,ND,ND,ND,none,not_in_meta,not_found_on_INSP,ND,ND
2026-07-19 11:14:12,60,ND,ND,ND,none,not_in_meta,not_found_on_INSP,ND,ND
2026-07-19 11:14:25,61,2026-07-14,https://insp.cd/sitrep-n061-mvb_14-07-2026/,https://insp.cd/wp-content/uploads/2026/07/Draft_SitRep_MVE_RDC_N_61_14-07-2026_Analytique.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N061_2026-07-14.pdf,b8d1228d2bf1160176e5704f13cc9ee9cafe3b04b52a8ab6ecb8e28bb1ee52ae
2026-07-19 11:14:36,62,2026-07-15,https://insp.cd/sitrep-n062-mvb_15-07-2026/,https://insp.cd/wp-content/uploads/2026/07/Draft_SitRep_MVE_RDC_N_62_15-07-2026_VF.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N062_2026-07-15.pdf,dfbd55ed538573b45bf8a0947accaebd54a5fcadf34e68160e21da5e0855374e
2026-07-19 11:14:37,63,ND,ND,ND,none,not_in_meta,not_found_on_INSP,ND,ND
2026-07-19 11:14:53,64,2026-07-17,https://insp.cd/sitrep-n064-mvb_17-07-2026/,https://insp.cd/wp-content/uploads/2026/07/SitRep_MVE_RDC_N°_64_17-07-2026_OKK-2.pdf,F_wp_media_parent,E_wp_embed;F_wp_media_parent,downloaded,data/pdf/SitRep_N064_2026-07-17.pdf,9458cd2adaea90b7bd8002c4c6d869b34d615e05eab3e224a69fa06f31f49a53
