timestamp_utc,num,date,page_url,pdf_url,status,local_path,sha256
2026-07-19 08:18:45,18,2026-06-01,https://insp.cd/sitrep-n018-mvb_01-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:18:54,19,2026-06-01,https://insp.cd/sitrep-n019-mvb_01-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:19:02,20,2026-06-02,https://insp.cd/sitrep-n020-mvb_02-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:19:02,21,ND,ND,ND,not_found_on_INSP,ND,ND
2026-07-19 08:19:10,22,2026-06-05,https://insp.cd/sitrep-n22-mvb_05-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:19:17,23,2026-06-06,https://insp.cd/sitrep-n23-mvb_06-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:19:24,24,2026-06-07,https://insp.cd/sitrep-n24-mvb_07-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:19:33,25,2026-06-08,https://insp.cd/sitrep-n25-mvb_08-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:19:40,26,2026-06-09,https://insp.cd/sitrep-n26-mvb_09-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:19:48,27,2026-06-10,https://insp.cd/sitrep-n27-mvb_10-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:19:57,28,2026-06-11,https://insp.cd/sitrep-n28-mvb_11-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:19:57,29,ND,ND,ND,not_found_on_INSP,ND,ND
2026-07-19 08:20:08,30,2026-06-13,https://insp.cd/sitrep-n30-mvb_13-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:20:15,31,2026-06-14,https://insp.cd/sitrep-n31-mvb_14-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:20:21,32,2026-06-15,https://insp.cd/sitrep-n32-mvb_15-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:20:28,33,2026-06-16,https://insp.cd/sitrep-n33-mvb_16-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:20:35,34,2026-06-17,https://insp.cd/sitrep-n34-mvb_17-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:20:42,35,2026-06-18,https://insp.cd/sitrep-n35-mvb_18-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:20:50,36,2026-06-19,https://insp.cd/sitrep-n36-mvb_19-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:20:57,37,2026-06-20,https://insp.cd/sitrep-n37-mvb_20-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:21:06,38,2026-06-21,https://insp.cd/sitrep-n38-mvb_21-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:21:16,39,2026-06-22,https://insp.cd/sitrep-n39-mvb_22-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:21:25,40,2026-06-23,https://insp.cd/sitrep-n040-mvb_23-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:21:33,41,2026-06-24,https://insp.cd/sitrep-n041-mvb_24-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:21:39,42,2026-06-25,https://insp.cd/sitrep-n042-mvb_25-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:21:39,43,ND,ND,ND,not_found_on_INSP,ND,ND
2026-07-19 08:21:48,44,2026-06-27,https://insp.cd/sitrep-n044-mvb_27-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:21:48,45,ND,ND,ND,not_found_on_INSP,ND,ND
2026-07-19 08:21:55,46,2026-06-29,https://insp.cd/sitrep-n046-mvb_29-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:22:02,47,2026-06-30,https://insp.cd/sitrep-n047-mvb_30-06-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:22:15,48,2026-07-01,https://insp.cd/sitrep-n48-mvb_01-07-2026/,ND,pdf_link_absent,ND,ND
2026-07-19 08:22:25,49,2026-07-02,https://insp.cd/sitrep-n049-mvb_02-07-2026/,ND,pdf_link_absent,ND,ND
