iso3,country,rcc,selected_admin_level,geo_confidence,n_features,clean_file,source
MWI,Malawi,Southern Africa RCC,ADM2,Medium,28,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MWI_ADM2_geoboundaries_clean.geojson,geoBoundaries
MOZ,Mozambique,Southern Africa RCC,ADM2,Medium,159,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MOZ_ADM2_geoboundaries_clean.geojson,geoBoundaries
NAM,Namibia,Southern Africa RCC,ADM2,Medium,109,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/NAM_ADM2_geoboundaries_clean.geojson,geoBoundaries
ZAF,South Africa,Southern Africa RCC,ADM2,Medium,52,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ZAF_ADM2_geoboundaries_clean.geojson,geoBoundaries
ZMB,Zambia,Southern Africa RCC,ADM2,Medium,116,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ZMB_ADM2_geoboundaries_clean.geojson,geoBoundaries
ZWE,Zimbabwe,Southern Africa RCC,ADM2,Medium,91,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ZWE_ADM2_geoboundaries_clean.geojson,geoBoundaries
BEN,Benin,Western Africa RCC,ADM2,Medium,77,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BEN_ADM2_geoboundaries_clean.geojson,geoBoundaries
BFA,Burkina Faso,Western Africa RCC,ADM2,Medium,45,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/BFA_ADM2_geoboundaries_clean.geojson,geoBoundaries
CPV,Cabo Verde,Western Africa RCC,ADM2,Medium,32,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CPV_ADM2_geoboundaries_clean.geojson,geoBoundaries
CIV,Côte d'Ivoire,Western Africa RCC,ADM2,Medium,33,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CIV_ADM2_geoboundaries_clean.geojson,geoBoundaries
GMB,Gambia,Western Africa RCC,ADM2,Medium,48,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GMB_ADM2_geoboundaries_clean.geojson,geoBoundaries
GHA,Ghana,Western Africa RCC,ADM2,Medium,260,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GHA_ADM2_geoboundaries_clean.geojson,geoBoundaries
GIN,Guinea,Western Africa RCC,ADM2,Medium,34,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GIN_ADM2_geoboundaries_clean.geojson,geoBoundaries
GNB,Guinea-Bissau,Western Africa RCC,ADM2,Medium,39,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GNB_ADM2_geoboundaries_clean.geojson,geoBoundaries
LBR,Liberia,Western Africa RCC,ADM2,Medium,136,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LBR_ADM2_geoboundaries_clean.geojson,geoBoundaries
MLI,Mali,Western Africa RCC,ADM2,Medium,50,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MLI_ADM2_geoboundaries_clean.geojson,geoBoundaries
NER,Niger,Western Africa RCC,ADM2,Medium,67,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/NER_ADM2_geoboundaries_clean.geojson,geoBoundaries
NGA,Nigeria,Western Africa RCC,ADM2,Medium,774,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/NGA_ADM2_geoboundaries_clean.geojson,geoBoundaries
SEN,Senegal,Western Africa RCC,ADM2,Medium,45,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SEN_ADM2_geoboundaries_clean.geojson,geoBoundaries
SLE,Sierra Leone,Western Africa RCC,ADM2,Medium,14,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SLE_ADM2_geoboundaries_clean.geojson,geoBoundaries
TGO,Togo,Western Africa RCC,ADM2,Medium,37,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/TGO_ADM2_geoboundaries_clean.geojson,geoBoundaries
