iso3,country,rcc,adm_level,status,api_url,download_url,raw_file,clean_file,n_features,n_columns,geometry_type,crs,error,selected_for_preis
COG,Congo,Central Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/COG/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/COG/ADM2/geoBoundaries-COG-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/COG_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/COG_ADM2_geoboundaries_clean.geojson,46,12,POLYGON,WGS 84,NA,TRUE
CIV,Côte d'Ivoire,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/CIV/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/CIV/ADM2/geoBoundaries-CIV-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CIV_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/CIV_ADM2_geoboundaries_clean.geojson,33,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
COD,Democratic Republic of the Congo,Central Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/COD/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/COD/ADM2/geoBoundaries-COD-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/COD_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/COD_ADM2_geoboundaries_clean.geojson,189,12,POLYGON,WGS 84,NA,TRUE
DJI,Djibouti,Eastern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/DJI/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/DJI/ADM2/geoBoundaries-DJI-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/DJI_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/DJI_ADM2_geoboundaries_clean.geojson,11,12,POLYGON,WGS 84,NA,TRUE
EGY,Egypt,Northern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/EGY/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/EGY/ADM2/geoBoundaries-EGY-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/EGY_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/EGY_ADM2_geoboundaries_clean.geojson,365,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
GNQ,Equatorial Guinea,Central Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/GNQ/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/GNQ/ADM2/geoBoundaries-GNQ-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GNQ_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GNQ_ADM2_geoboundaries_clean.geojson,28,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
ERI,Eritrea,Eastern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/ERI/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ERI/ADM2/geoBoundaries-ERI-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ERI_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ERI_ADM2_geoboundaries_clean.geojson,58,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
SWZ,Eswatini,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/SWZ/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/SWZ/ADM2/geoBoundaries-SWZ-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SWZ_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/SWZ_ADM2_geoboundaries_clean.geojson,53,12,POLYGON,WGS 84,NA,TRUE
ETH,Ethiopia,Eastern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/ETH/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/ETH/ADM2/geoBoundaries-ETH-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ETH_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/ETH_ADM2_geoboundaries_clean.geojson,74,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
GAB,Gabon,Central Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/GAB/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/GAB/ADM2/geoBoundaries-GAB-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GAB_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GAB_ADM2_geoboundaries_clean.geojson,49,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
GMB,Gambia,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/GMB/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/GMB/ADM2/geoBoundaries-GMB-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GMB_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GMB_ADM2_geoboundaries_clean.geojson,48,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
GHA,Ghana,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/GHA/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/GHA/ADM2/geoBoundaries-GHA-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GHA_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GHA_ADM2_geoboundaries_clean.geojson,260,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
GIN,Guinea,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/GIN/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/GIN/ADM2/geoBoundaries-GIN-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GIN_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GIN_ADM2_geoboundaries_clean.geojson,34,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
GNB,Guinea-Bissau,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/GNB/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/GNB/ADM2/geoBoundaries-GNB-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GNB_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/GNB_ADM2_geoboundaries_clean.geojson,39,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
KEN,Kenya,Eastern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/KEN/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/KEN/ADM2/geoBoundaries-KEN-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/KEN_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/KEN_ADM2_geoboundaries_clean.geojson,290,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
LSO,Lesotho,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/LSO/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/LSO/ADM2/geoBoundaries-LSO-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LSO_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LSO_ADM2_geoboundaries_clean.geojson,78,12,POLYGON,WGS 84,NA,TRUE
LBR,Liberia,Western Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/LBR/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/LBR/ADM2/geoBoundaries-LBR-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LBR_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LBR_ADM2_geoboundaries_clean.geojson,136,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
LBY,Libya,Northern Africa RCC,ADM1,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/LBY/ADM1,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/LBY/ADM1/geoBoundaries-LBY-ADM1.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM1/LBY_ADM1_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM1/LBY_ADM1_geoboundaries_clean.geojson,22,12,POLYGON,WGS 84,NA,TRUE
LBY,Libya,Northern Africa RCC,ADM2,METADATA_FAILED,https://www.geoboundaries.org/api/current/gbOpen/LBY/ADM2,NA,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LBY_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/LBY_ADM2_geoboundaries_clean.geojson,NA,NA,NA,NA,Metadata HTTP status 404,FALSE
MDG,Madagascar,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/MDG/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/MDG/ADM2/geoBoundaries-MDG-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MDG_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MDG_ADM2_geoboundaries_clean.geojson,119,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
MWI,Malawi,Southern Africa RCC,ADM2,SUCCESS,https://www.geoboundaries.org/api/current/gbOpen/MWI/ADM2,https://github.com/wmgeolab/geoBoundaries/raw/9469f09/releaseData/gbOpen/MWI/ADM2/geoBoundaries-MWI-ADM2.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MWI_ADM2_geoboundaries_raw.geojson,D:/PREIS_Ebola_Production/data/external/geospatial/geoboundaries/ADM2/MWI_ADM2_geoboundaries_clean.geojson,28,12,POLYGON; MULTIPOLYGON,WGS 84,NA,TRUE
