sitrep_no,indicator_code,domain,value,extraction_rule,value_source,source_type,priority
37,deaths_nordkivu,deaths,935,province_row_nordkivu,NA,NA,NA
37,deaths_sudkivu,deaths,58,province_row_sudkivu,NA,NA,NA
37,hz_affected_ituri,geography,22,hz_affected_ituri,NA,NA,NA
37,hz_affected_national,geography,34,total_row_cases_deaths_cfr_hz,NA,NA,NA
37,hz_affected_nordkivu,geography,11,hz_affected_nordkivu,NA,NA,NA
37,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
37,samples_collected,laboratory,5,narr_samples_collected,NA,NA,NA
38,alerts_reported,surveillance,300,tbl_alerts_reported,NA,NA,NA
38,case_fatality_ratio,deaths,70.3,total_row_cases_deaths_cfr_hz,NA,NA,NA
38,cases_ituri,cases,954,province_row_ituri,NA,NA,NA
38,cases_nordkivu,cases,91,province_row_nordkivu,NA,NA,NA
38,cases_sudkivu,cases,58,province_row_sudkivu,NA,NA,NA
38,contacts_followed_up,contacts,2026,narr_contacts_followed,NA,NA,NA
38,deaths_ituri,deaths,216,province_row_ituri,NA,NA,NA
38,deaths_nordkivu,deaths,122,province_row_nordkivu,NA,NA,NA
38,deaths_sudkivu,deaths,58,province_row_sudkivu,NA,NA,NA
38,hz_affected_ituri,geography,22,hz_affected_ituri,NA,NA,NA
38,hz_affected_national,geography,34,total_row_cases_deaths_cfr_hz,NA,NA,NA
38,hz_affected_nordkivu,geography,11,hz_affected_nordkivu,NA,NA,NA
38,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
38,samples_collected,laboratory,3,narr_samples_collected,NA,NA,NA
39,alerts_reported,surveillance,175,tbl_alerts_reported,NA,NA,NA
39,case_fatality_ratio,deaths,70.3,total_row_cases_deaths_cfr_hz,NA,NA,NA
39,cases_ituri,cases,997,province_row_ituri,NA,NA,NA
39,cases_nordkivu,cases,94,province_row_nordkivu,NA,NA,NA
39,cases_sudkivu,cases,96,province_row_sudkivu,NA,NA,NA
39,deaths_ituri,deaths,244,province_row_ituri,NA,NA,NA
39,deaths_nordkivu,deaths,50,province_row_nordkivu,NA,NA,NA
39,deaths_sudkivu,deaths,96,province_row_sudkivu,NA,NA,NA
39,hz_affected_ituri,geography,22,hz_affected_ituri,NA,NA,NA
39,hz_affected_national,geography,34,total_row_cases_deaths_cfr_hz,NA,NA,NA
39,hz_affected_nordkivu,geography,11,hz_affected_nordkivu,NA,NA,NA
39,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
39,samples_positive,laboratory,3,narr_samples_positive,NA,NA,NA
40,alerts_reported,surveillance,699,narr_alerts_reported,NA,NA,NA
40,case_fatality_ratio,deaths,70.3,total_row_cases_deaths_cfr_hz,NA,NA,NA
40,cases_ituri,cases,1020,province_row_ituri,NA,NA,NA
40,cases_nordkivu,cases,95,province_row_nordkivu,NA,NA,NA
40,cases_sudkivu,cases,96,province_row_sudkivu,NA,NA,NA
40,deaths_ituri,deaths,312,province_row_ituri,NA,NA,NA
40,deaths_nordkivu,deaths,938,province_row_nordkivu,NA,NA,NA
40,deaths_sudkivu,deaths,96,province_row_sudkivu,NA,NA,NA
40,hz_affected_ituri,geography,22,hz_affected_ituri,NA,NA,NA
40,hz_affected_national,geography,34,total_row_cases_deaths_cfr_hz,NA,NA,NA
40,hz_affected_nordkivu,geography,11,hz_affected_nordkivu,NA,NA,NA
40,hz_affected_sudkivu,geography,1,hz_affected_sudkivu,NA,NA,NA
56,case_fatality_ratio,deaths,4.2,computed_cfr,NA,NA,NA
56,cases_ituri,cases,1663,table_ituri,NA,NA,NA
56,cases_nordkivu,cases,164,table_nk,NA,NA,NA
56,cases_sudkivu,cases,3,table_sk,NA,NA,NA
56,contacts_followed_up,contacts,10,regex_contacts_followup2,NA,NA,NA
56,cumulative_deaths,deaths,35,narr_dont_deces,NA,NA,NA
56,deaths_ituri,deaths,553,table_ituri,NA,NA,NA
56,deaths_nordkivu,deaths,94,table_nk,NA,NA,NA
56,deaths_sudkivu,deaths,1,table_sk,NA,NA,NA
56,hz_affected_ituri,geography,25,regex_hz_ituri,NA,NA,NA
56,hz_affected_nordkivu,geography,11,regex_hz_nordkivu,NA,NA,NA
56,hz_affected_sudkivu,geography,1,regex_hz_sudkivu,NA,NA,NA
56,new_confirmed_cases,cases,38,narr_nouveaux,NA,NA,NA
57,case_fatality_ratio,deaths,4,computed_cfr,NA,NA,NA
57,cases_ituri,cases,1705,table_ituri,NA,NA,NA
57,cases_nordkivu,cases,165,table_nk,NA,NA,NA
57,cases_sudkivu,cases,3,table_sk,NA,NA,NA
57,contacts_followed_up,contacts,11,regex_contacts_followup2,NA,NA,NA
57,cumulative_deaths,deaths,35,narr_dont_deces,NA,NA,NA
57,deaths_ituri,deaths,577,table_ituri,NA,NA,NA
57,deaths_nordkivu,deaths,94,table_nk,NA,NA,NA
57,deaths_sudkivu,deaths,1,table_sk,NA,NA,NA
57,hz_affected_ituri,geography,25,regex_hz_ituri,NA,NA,NA
57,hz_affected_nordkivu,geography,11,regex_hz_nordkivu,NA,NA,NA
57,hz_affected_sudkivu,geography,1,regex_hz_sudkivu,NA,NA,NA
57,new_confirmed_cases,cases,43,narr_nouveaux,NA,NA,NA
58,case_fatality_ratio,deaths,3.8,computed_cfr,NA,NA,NA
58,cases_ituri,cases,1745,table_ituri,NA,NA,NA
58,cases_nordkivu,cases,173,table_nk,NA,NA,NA
58,cases_sudkivu,cases,3,table_sk,NA,NA,NA
58,contacts_followed_up,contacts,10450,regex_contacts_followup2,NA,NA,NA
58,cumulative_deaths,deaths,35,narr_dont_deces,NA,NA,NA
58,deaths_ituri,deaths,601,table_ituri,NA,NA,NA
58,deaths_nordkivu,deaths,97,table_nk,NA,NA,NA
58,deaths_sudkivu,deaths,1,table_sk,NA,NA,NA
58,hz_affected_ituri,geography,26,regex_hz_ituri,NA,NA,NA
58,hz_affected_nordkivu,geography,11,regex_hz_nordkivu,NA,NA,NA
58,hz_affected_sudkivu,geography,1,regex_hz_sudkivu,NA,NA,NA
58,new_confirmed_cases,cases,53,narr_nouveaux,NA,NA,NA
58,recovered,cases,702,box_value_row,NA,NA,NA
59,cases_nordkivu,cases,177,table_nk,NA,NA,NA
59,cases_sudkivu,cases,3,table_sk,NA,NA,NA
59,contacts_followed_up,contacts,226,regex_contacts_followup,NA,NA,NA
59,cumulative_confirmed_cases,cases,1963,box_h_cases,NA,NA,NA
59,cumulative_deaths,deaths,718,narr_dont_deces,NA,NA,NA
59,deaths_community,deaths,112,regex_deaths_community,NA,NA,NA
59,deaths_nordkivu,deaths,100,table_nk,NA,NA,NA
59,deaths_sudkivu,deaths,1,table_sk,NA,NA,NA
59,hz_affected_ituri,geography,26,regex_hz_ituri,NA,NA,NA
59,hz_affected_nordkivu,geography,11,regex_hz_nordkivu,NA,NA,NA
59,new_confirmed_cases,cases,31,narr_nouveaux,NA,NA,NA
60,cases_nordkivu,cases,182,table_nk,NA,NA,NA
60,cases_sudkivu,cases,3,table_sk,NA,NA,NA
60,contacts_followed_up,contacts,68,regex_contacts_followup,NA,NA,NA
60,cumulative_confirmed_cases,cases,2011,box_h_cases,NA,NA,NA
60,deaths_community,deaths,5,regex_deaths_community,NA,NA,NA
60,deaths_nordkivu,deaths,106,table_nk,NA,NA,NA
60,deaths_sudkivu,deaths,1,table_sk,NA,NA,NA
60,hz_affected_ituri,geography,26,regex_hz_ituri,NA,NA,NA
60,hz_affected_nordkivu,geography,11,regex_hz_nordkivu,NA,NA,NA
60,hz_affected_sudkivu,geography,1,regex_hz_sudkivu,NA,NA,NA
60,new_confirmed_cases,cases,42,narr_nouveaux,NA,NA,NA
60,cumulative_deaths,NA,754,fix_national_cumul,observed,pdf_fix,1
60,case_fatality_ratio,NA,37.5,fix_national_cumul,observed,pdf_fix,1
